"","Id","Upload_Gam1"
"1",1461,116713.128191312
"2",1462,151156.299074014
"3",1463,176060.071571646
"4",1464,192343.877852748
"5",1465,191786.330683948
"6",1466,177731.636824031
"7",1467,183039.26213182
"8",1468,167405.567695742
"9",1469,209683.181103582
"10",1470,124107.491895336
"11",1471,187078.215647074
"12",1472,100211.865952332
"13",1473,97248.1590597084
"14",1474,147580.38702059
"15",1475,123635.752662944
"16",1476,368340.7479567
"17",1477,252834.091036346
"18",1478,295519.582135674
"19",1479,289115.997540244
"20",1480,524982.871871604
"21",1481,347193.21284971
"22",1482,209415.154612786
"23",1483,171074.344512632
"24",1484,158395.055193864
"25",1485,181592.867052597
"26",1486,197028.123263517
"27",1487,328114.533537734
"28",1488,248930.838718893
"29",1489,202035.433105845
"30",1490,218798.170351973
"31",1491,186800.250867021
"32",1492,90167.9976695205
"33",1493,188965.172135057
"34",1494,293512.414383225
"35",1495,289236.899152731
"36",1496,232262.308106837
"37",1497,191891.353411688
"38",1498,160943.341269363
"39",1499,164179.298140712
"40",1500,158023.123474963
"41",1501,178772.000266037
"42",1502,154391.488239075
"43",1503,278257.807109931
"44",1504,257074.877831114
"45",1505,237500.616653652
"46",1506,204608.50831318
"47",1507,264494.022899861
"48",1508,195022.484584934
"49",1509,154456.449942785
"50",1510,134482.517403885
"51",1511,141054.375654674
"52",1512,160908.89882933
"53",1513,142344.409327933
"54",1514,145721.655677035
"55",1515,196695.290024582
"56",1516,143047.75937286
"57",1517,190432.487999742
"58",1518,146452.020692145
"59",1519,212477.714641575
"60",1520,123454.880597982
"61",1521,127134.002252886
"62",1522,162723.909401233
"63",1523,117635.385284417
"64",1524,125314.269601399
"65",1525,116917.477167949
"66",1526,110200.412303028
"67",1527,118617.090016392
"68",1528,152169.959266418
"69",1529,137707.051840675
"70",1530,177767.738942266
"71",1531,111272.452461423
"72",1532,97611.7348044094
"73",1533,140480.630619404
"74",1534,131543.907823697
"75",1535,138371.273483488
"76",1536,105400.310991634
"77",1537,69468.022168347
"78",1538,135258.579395091
"79",1539,182422.952201099
"80",1540,97372.889558679
"81",1541,129453.610165092
"82",1542,134625.159463822
"83",1543,180688.022677545
"84",1544,87619.9223413219
"85",1545,114915.061363243
"86",1546,131408.25260838
"87",1547,115026.607513585
"88",1548,139920.318837957
"89",1549,127026.236045395
"90",1550,132166.861285415
"91",1551,106592.661241978
"92",1552,131760.213292384
"93",1553,133432.99687628
"94",1554,123218.739912208
"95",1555,164479.940590617
"96",1556,95562.4157146671
"97",1557,96290.7182344659
"98",1558,102545.663788106
"99",1559,62501.484641392
"100",1560,131324.613455059
"101",1561,128036.357403648
"102",1562,131216.735108111
"103",1563,125515.600308942
"104",1564,164310.489274893
"105",1565,142747.082837361
"106",1566,259618.706290993
"107",1567,81686.1061553288
"108",1568,248512.146371265
"109",1569,122854.840503367
"110",1570,148658.538907767
"111",1571,129992.892109816
"112",1572,135655.233273493
"113",1573,239526.28473544
"114",1574,126326.008868421
"115",1575,201289.447971458
"116",1576,238166.194970796
"117",1577,177114.28977103
"118",1578,146861.885826273
"119",1579,141112.250079065
"120",1580,193094.445927549
"121",1581,157921.009872511
"122",1582,131889.191838715
"123",1583,292003.231671964
"124",1584,229654.540800456
"125",1585,137481.04908222
"126",1586,68118.5486279437
"127",1587,102140.424727167
"128",1588,158052.893345988
"129",1589,97710.4670830648
"130",1590,147363.01199586
"131",1591,97657.0669322895
"132",1592,116015.964838619
"133",1593,121597.365067522
"134",1594,132066.281698695
"135",1595,109755.740772463
"136",1596,250178.255657622
"137",1597,204269.917685037
"138",1598,227211.038452191
"139",1599,180717.57126935
"140",1600,160451.405852084
"141",1601,72933.0363555822
"142",1602,111260.286322009
"143",1603,69328.3013100917
"144",1604,256949.195012804
"145",1605,238596.425569696
"146",1606,166191.954371599
"147",1607,200036.561433842
"148",1608,217167.197084603
"149",1609,187047.444323242
"150",1610,152765.521065629
"151",1611,137392.168433153
"152",1612,166714.670874038
"153",1613,173593.72610792
"154",1614,113287.047546143
"155",1615,85586.3030276597
"156",1616,78548.2045207004
"157",1617,90741.2708579405
"158",1618,123478.353394629
"159",1619,141151.638429156
"160",1620,161513.94584219
"161",1621,139994.473041657
"162",1622,132432.75200387
"163",1623,247389.10549112
"164",1624,203427.123245334
"165",1625,121366.915624698
"166",1626,165580.184664936
"167",1627,183366.592072436
"168",1628,269363.160390819
"169",1629,175256.448864206
"170",1630,373435.948040988
"171",1631,238025.213369582
