"","Id","Upload_Gam4"
"1",1461,116594.933492419
"2",1462,150710.715101723
"3",1463,175497.398330062
"4",1464,190915.11913127
"5",1465,190689.270147458
"6",1466,176806.093357136
"7",1467,181537.203882866
"8",1468,166207.795614809
"9",1469,207490.111647599
"10",1470,124019.376511695
"11",1471,185975.92207279
"12",1472,99260.1140600383
"13",1473,96777.7230320335
"14",1474,147018.631885817
"15",1475,122283.203727108
"16",1476,366617.402183183
"17",1477,250900.390832275
"18",1478,292636.136542057
"19",1479,287591.367836881
"20",1480,500000
"21",1481,346641.362395062
"22",1482,207395.419560534
"23",1483,170252.9864349
"24",1484,157588.08734986
"25",1485,179669.02262474
"26",1486,195641.5476543
"27",1487,325892.586885572
"28",1488,246786.18011292
"29",1489,200197.601597268
"30",1490,217918.86198186
"31",1491,186365.263496114
"32",1492,91489.6412783043
"33",1493,187957.218208554
"34",1494,291938.55437462
"35",1495,287205.459985913
"36",1496,230919.011649428
"37",1497,192090.344494798
"38",1498,160128.663623702
"39",1499,163228.234015481
"40",1500,157562.488272142
"41",1501,179267.598140817
"42",1502,153394.519489488
"43",1503,274969.880685808
"44",1504,255634.029842068
"45",1505,235911.994208813
"46",1506,205148.067411969
"47",1507,265629.420713251
"48",1508,194705.264351835
"49",1509,154324.681919981
"50",1510,134579.06447972
"51",1511,140723.633662929
"52",1512,161154.466933973
"53",1513,143033.503628217
"54",1514,140843.4972346
"55",1515,197979.597648812
"56",1516,142793.677277029
"57",1517,188065.043488881
"58",1518,140479.335243917
"59",1519,211572.571327933
"60",1520,123405.49032375
"61",1521,127173.902432104
"62",1522,162182.856736162
"63",1523,118110.790388688
"64",1524,124847.725087982
"65",1525,116408.686604949
"66",1526,110028.014511981
"67",1527,118489.852612205
"68",1528,151884.252398492
"69",1529,137356.976102849
"70",1530,175918.132354239
"71",1531,112379.039924693
"72",1532,97978.7639074787
"73",1533,140548.430238211
"74",1534,131063.32574664
"75",1535,138600.449451085
"76",1536,105995.549049565
"77",1537,70653.6962546405
"78",1538,135620.868434633
"79",1539,183156.891820372
"80",1540,96146.409538894
"81",1541,129363.660700861
"82",1542,134875.197976623
"83",1543,181032.300369387
"84",1544,87613.7839658334
"85",1545,114099.104193124
"86",1546,129785.454416161
"87",1547,114537.203427881
"88",1548,139124.218954911
"89",1549,125982.435820662
"90",1550,131957.084864859
"91",1551,106366.437053407
"92",1552,133632.154133033
"93",1553,134353.376439535
"94",1554,122876.632569078
"95",1555,164763.502526772
"96",1556,95971.1179447389
"97",1557,99958.7292696417
"98",1558,103721.426646699
"99",1559,66060.1309567701
"100",1560,127099.772441449
"101",1561,125782.077920346
"102",1562,130348.765570116
"103",1563,124881.124788725
"104",1564,164298.210302142
"105",1565,142134.742304739
"106",1566,256515.44911779
"107",1567,82246.4441469103
"108",1568,247785.080972282
"109",1569,123331.248258583
"110",1570,146520.863341484
"111",1571,120619.973284486
"112",1572,134774.778010386
"113",1573,235720.219396983
"114",1574,126342.433012713
"115",1575,201852.101889115
"116",1576,236601.747090426
"117",1577,175642.333013971
"118",1578,147113.239983185
"119",1579,141508.016620758
"120",1580,191732.749767132
"121",1581,156750.762583576
"122",1582,131419.854601707
"123",1583,290904.027467155
"124",1584,228989.880136413
"125",1585,136717.220796857
"126",1586,67949.3030118398
"127",1587,101117.694964422
"128",1588,156735.009080739
"129",1589,97838.705440598
"130",1590,145533.477301037
"131",1591,97837.719937068
"132",1592,118321.280677399
"133",1593,121987.10614482
"134",1594,130612.856549328
"135",1595,112844.159382607
"136",1596,250114.694727653
"137",1597,195701.370890958
"138",1598,225782.773702356
"139",1599,178445.676863452
"140",1600,158918.161810351
"141",1601,72669.3275478864
"142",1602,110738.120745135
"143",1603,70005.2307827747
"144",1604,255577.950095798
"145",1605,238423.264457818
"146",1606,165477.93344649
"147",1607,192851.187149807
"148",1608,215092.388834689
"149",1609,185065.444669144
"150",1610,152441.405687341
"151",1611,137602.261493801
"152",1612,167377.28945313
"153",1613,173248.596991615
"154",1614,111505.321080785
"155",1615,85515.7375851372
"156",1616,78955.2213484545
"157",1617,90405.7069887899
"158",1618,123033.685142051
"159",1619,140768.066794358
"160",1620,155035.006816332
"161",1621,140193.15630363
"162",1622,133296.084238348
"163",1623,246476.391222259
"164",1624,203800.830589786
"165",1625,120928.117344052
"166",1626,165372.856646584
"167",1627,182735.592199412
"168",1628,269002.76881934
"169",1629,174232.776516186
"170",1630,375997.51487166
"171",1631,237323.830381535
"172",1632,246928.188528137
"173",1633,166366.532638478
"174",1634,192798.062109745
"175",1635,178758.715800248
"176",1636,160195.393681032
